attack,classfication,defense,hp,japanese_name,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2
49,Seed Pokémon,49,45,Fushigidaneフシギダネ,Bulbasaur,1,65,65,45,grass,poison
62,Seed Pokémon,63,60,Fushigisouフシギソウ,Ivysaur,2,80,80,60,grass,poison
100,Seed Pokémon,123,80,Fushigibanaフシギバナ,Venusaur,3,122,120,80,grass,poison
52,Lizard Pokémon,43,39,Hitokageヒトカゲ,Charmander,4,60,50,65,fire,
64,Flame Pokémon,58,58,Lizardoリザード,Charmeleon,5,80,65,80,fire,
104,Flame Pokémon,78,78,Lizardonリザードン,Charizard,6,159,115,100,fire,flying
48,Tiny Turtle Pokémon,65,44,Zenigameゼニガメ,Squirtle,7,50,64,43,water,
63,Turtle Pokémon,80,59,Kameilカメール,Wartortle,8,65,80,58,water,
103,Shellfish Pokémon,120,79,Kamexカメックス,Blastoise,9,135,115,78,water,
30,Worm Pokémon,35,45,Caterpieキャタピー,Caterpie,10,20,20,45,bug,
20,Cocoon Pokémon,55,50,Transelトランセル,Metapod,11,25,25,30,bug,
45,Butterfly Pokémon,50,60,Butterfreeバタフリー,Butterfree,12,90,80,70,bug,flying
35,Hairy Pokémon,30,40,Beedleビードル,Weedle,13,20,20,50,bug,poison
25,Cocoon Pokémon,50,45,Cocoonコクーン,Kakuna,14,25,25,35,bug,poison
150,Poison Bee Pokémon,40,65,Spearスピアー,Beedrill,15,15,80,145,bug,poison
45,Tiny Bird Pokémon,40,40,Poppoポッポ,Pidgey,16,35,35,56,normal,flying
60,Bird Pokémon,55,63,Pigeonピジョン,Pidgeotto,17,50,50,71,normal,flying
80,Bird Pokémon,80,83,Pigeotピジョット,Pidgeot,18,135,80,121,normal,flying
56,Mouse Pokémon,35,30,Korattaコラッタ,Rattata,19,25,35,72,normal,dark
71,Mouse Pokémon,70,75,Rattaラッタ,Raticate,20,40,80,77,normal,dark
